,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2,3,Switzerland,7.56,1.391,1.472,1.041,0.629,0.26899999999999996,0.408
12,13,United Kingdom,7.165,1.273,1.4580000000000002,0.976,0.525,0.373,0.32299999999999995
17,18,United States,6.94,1.374,1.405,0.8320000000000001,0.535,0.298,0.152
31,32,Brazil,6.376,0.953,1.3630000000000002,0.7659999999999999,0.483,0.132,0.107
72,73,Russia,5.546,1.127,1.379,0.68,0.39899999999999997,0.099,0.046
93,94,China,5.124,0.991,1.1320000000000001,0.867,0.602,0.079,0.11699999999999999
